Cause,Organization Name,Description,URL,EIN,ColoradoGives URL
Holistic Health,Alzheimer's Association Colorado Chapter,Provides resources and support for individuals and families affected by memory loss,https://www.alz.org/co,74-2424623,https://www.coloradogives.org/organization/AlzheimersColorado
Holistic Health,Caring for Denver Foundation,Addresses mental health and substance misuse needs in the city with community-informed solutions,https://caring4denver.org,83-2462789,https://www.coloradogives.org/organization/caringfordenver
Holistic Health,Jeffco Prosperity Partners,Dedicated to advancing solutions that create opportunities for families to break the cycle of poverty and build generational wealth.,https://www.jeffcoprosperitypartners.org/,82-1885665,https://www.coloradogives.org/organization/Jeffco-Prosperity-Partners
Holistic Health,Colorado Mental Wellness Network,A peer-led organization offering peer support mental health advocacy and wellness education emphasizing recovery for all,https://www.cmwn.org,27-0623859,https://www.coloradogives.org/organization/cmwn
Holistic Health,Denver Urban Gardens,Supports community gardens and promotes access to fresh produce,https://www.dug.org,84-1233954,https://www.coloradogives.org/organization/denverurbangardens
Holistic Health,Mental Health Colorado,A nonprofit organization focused on promoting healthier minds across the lifespan for all Coloradans,https://mentalhealthcolorado.org,84-0446365,https://www.coloradogives.org/organization/MentalHealthColorado
Holistic Health,Clinica Family Health & Wellness,Provides comprehensive affordable health care – for both body and mind – to people in our community who are struggling financially,http://www.clinica.org/,84-0743432,https://www.coloradogives.org/organization/clinica
Holistic Health,NAMI Colorado,Offers education and support for mental health,https://namicolorado.org,74-2240544,https://www.coloradogives.org/organization/namicolorado
Holistic Health,Second Wind Fund,Helps youth at risk for suicide access professional counseling services by removing financial and social barriers,http://www.thesecondwindfund.org/,73-1701536,https://www.coloradogives.org/organization/secondwindfund
Holistic Health,The Center on Colfax,Supports LGBTQ+ individuals with resources,https://lgbtqcolorado.org,84-0738879,https://www.coloradogives.org/organization/Lgbtqcenter
Personal Development & Education,Big City Mountaineers,Provides transformative wilderness mentoring expeditions for youth from urban communities promoting personal growth and family engagement,https://www.bigcitymountaineers.org,65-0200124,https://www.coloradogives.org/organization/bigcitymountaineers
Personal Development & Education,Colorado Youth Corps Association,Offers youth corps programs that engage young people in conservation projects teaching time management and responsibility,https://www.cyca.org,84-1278947,https://www.coloradogives.org/organization/cyca
Personal Development & Education,ActivateWork,Transforms eager and capable individuals into highly skilled sustainable team members.,http://activatework.org/,83-1930213,https://www.coloradogives.org/organization/ActivateWork
Personal Development & Education,Outdoor Lab Foundation,Provides outdoor education experiences to help youth seize opportunities for growth and learning,https://www.outdoorlabfoundation.org,20-0293537,https://www.coloradogives.org/organization/outdoorlab
Personal Development & Education,Rocky Mountain Field Institute,Engages volunteers in conservation projects that require commitment and timely action,https://www.rmfi.org,,
Personal Development & Education,The Women's Foundation of Colorado,Invests in programs that empower women and girls to achieve economic self-sufficiency,https://www.wfco.org,,
Community & Relationships,Big Brothers Big Sisters of Colorado,Provides mentoring programs that strengthen family and community connections,https://www.biglittlecolorado.org,84-0464064,https://www.coloradogives.org/organization/bbbsc
Community & Relationships,Community First Foundation,Connects donors with nonprofits to maximize the impact of charitable giving,https://www.communityfirstfoundation.org,84-6111656,https://www.coloradogives.org/organization/communityfirstfoundation
Community & Relationships,Project Angel Heart,Delivers nutritious meals to individuals with life-threatening illnesses,https://www.projectangelheart.org,,
Community & Relationships,Re:Vision,Empowers Denver residents to transform their lives and communities through urban agriculture fostering self-sufficiency and community building,https://www.revision.coop,,
Community & Relationships,Volunteers for Outdoor Colorado,Engages volunteers in projects that enhance and restore Colorado's outdoor spaces fostering community and support,http://www.voc.org/,74-2357211,https://www.coloradogives.org/organization/voc
Community & Relationships,Volunteers of America Colorado,Engages volunteers in programs that support vulnerable populations across Colorado,https://www.voacolorado.org,,
Community & Relationships,Western Resource Advocates,Works to provide clean energy preserve rivers and conserve the western landscape through law science and economics,https://westernresourceadvocates.org,,
Community & Relationships,Westminster Area Museum and Historical Society,The purpose of the Historical Society shall be to bring together those people interested in history and especially the history of the Westminster area,http://www.westminstercohistory.com/,74-2519540,https://www.coloradogives.org/organization/WestminsterAreaMuseumandHistoricalSociety
Environmental Sustainability & Animal Welfare,Colorado Bear Coalition,Colorado Bear Coalition's mission is to create a network of communities across Colorado to preserve the welfare of both bears and people,https://www.coloradobearcoalition.org/,86-2383453,https://www.coloradogives.org/nonprofit/coloradobearcoalition
Environmental Sustainability & Animal Welfare,Conservation Colorado,Advocates for policies that protect Colorado's environment and natural resources,https://www.conservationco.org,84-0620862,https://www.coloradogives.org/organization/conservationcolorado
Environmental Sustainability & Animal Welfare,Earth Force Inc.,Engages young people as active citizens who improve the environment and their communities fostering honesty and integrity through service,https://earthforce.org,54-1914673,https://www.coloradogives.org/organization/earthforce
Environmental Sustainability & Animal Welfare,Earth Guardians,Empowers youth to lead environmental and social justice movements with integrity and honesty,https://www.earthguardians.org,26-1858461,https://www.coloradogives.org/organization/earthguardians
Environmental Sustainability & Animal Welfare,Keep It Colorado,Unites elevates and empowers Colorado's conservation community to protect the lands and waters that define the state,https://keepitco.org,,
Environmental Sustainability & Animal Welfare,Mission: Wolf,Educational wolf sanctuary in the remote Colorado mountains,http://www.missionwolf.org/,74-2489879,https://www.coloradogives.org/organization/MissionWolf
Environmental Sustainability & Animal Welfare,Rocky Mountain Wild,Works to protect connect and restore wildlife and wild lands in the Southern Rocky Mountain region aligning with environmental stewardship values,https://rockymountainwild.org,84-1512852,https://www.coloradogives.org/organization/RMW-co
Environmental Sustainability & Animal Welfare,The Atmosphere Conservancy,By providing funding and technical resources to affordable housing agencies schools and non-profit organizations TAC strengthens the interface between social economic and environmental sustainability,https://www.atmosphereconservancy.org/,26-3639902,https://www.coloradogives.org/organization/TAC
